replicate,rate_per_day,rate_per_30_days
403,15.192825,455.784753
404,13.472774,404.183216
405,16.675849,500.275464
406,13.797566,413.92697
407,14.518898,435.566944
408,14.926329,447.789878
409,14.253684,427.610506
410,13.534273,406.028187
411,14.804612,444.138373
412,12.95836,388.750801
413,14.98975,449.692505
414,13.867393,416.021781
415,15.269699,458.090967
416,14.370275,431.108264
417,14.257527,427.725817
418,14.211403,426.342088
419,14.337604,430.128123
420,15.137732,454.131967
421,14.528507,435.855221
422,13.755285,412.658552
423,14.513133,435.393978
424,13.87508,416.252402
425,16.127482,483.824471
426,14.50032,435.009609
427,15.911595,477.347854
428,15.700833,471.024984
429,14.867393,446.021781
430,14.609225,438.276746
431,14.004484,420.134529
432,14.060218,421.806534
433,14.798206,443.946188
434,14.946829,448.404869
435,14.186419,425.592569
436,14.054452,421.633568
437,15.971172,479.13517
438,15.156951,454.70852
439,14.621397,438.641896
440,14.303011,429.090327
441,13.40615,402.184497
442,14.643818,439.314542
443,15.115311,453.459321
444,16.204997,486.149904
445,16.015375,480.461243
446,14.338885,430.16656
447,15.126842,453.805253
448,14.389494,431.684817
449,14.162076,424.862268
450,14.480461,434.413837
451,15.412556,462.376682
452,14.470211,434.106342
453,14.765535,442.966047
454,15.001922,450.057655
455,14.125561,423.766816
456,13.773222,413.196669
457,13.722614,411.678411
458,14.127482,423.824471
459,15.884689,476.540679
460,14.859065,445.771941
461,16.139013,484.170404
462,14.511851,435.355541
463,14.671365,440.140935
464,14.869955,446.098655
465,14.420243,432.607303
466,13.734785,412.043562
467,14.11467,423.440102
468,14.518898,435.566944
469,15.813581,474.407431
470,15.080077,452.402306
471,13.919283,417.578475
472,14.644459,439.33376
473,14.327354,429.820628
474,15.329276,459.878283
475,15.075593,452.267777
476,14.408072,432.242152
477,14.278668,428.360026
478,13.361307,400.839206
479,15.201153,456.034593
480,15.392056,461.761691
481,14.814862,444.445868
482,15.413197,462.3959
483,15.522101,465.663037
484,13.778988,413.369635
485,14.483664,434.50993
486,16.870596,506.117873
487,15.586803,467.6041
488,15.251762,457.552851
489,15.976297,479.288917
490,14.763613,442.908392
491,14.670083,440.102498
492,14.836003,445.080077
493,14.293402,428.80205
494,13.342729,400.281871
495,15.805253,474.157591
496,14.367713,431.03139
497,13.821909,414.657271
498,14.625881,438.776425
499,15.576553,467.296605
500,15.368994,461.069827
501,15.877002,476.310058
502,14.495836,434.87508
503,14.982063,449.461883
504,13.935939,418.078155
505,14.506726,435.201794
506,13.695067,410.852018
507,15.012812,450.384369
508,13.606662,408.199872
509,13.991031,419.730942
510,15.946188,478.38565
511,14.516976,435.509289
512,13.181935,395.45804
513,14.866111,445.983344
514,14.046765,421.402947
515,13.746316,412.389494
516,15.03139,450.941704
517,14.360666,430.819987
518,14.326073,429.782191
519,14.26073,427.821909
520,15.340167,460.204997
521,12.776425,383.292761
522,13.702114,411.063421
523,13.043562,391.306855
524,16.211403,486.342088
525,14.303652,429.109545
526,14.730942,441.928251
527,14.415119,432.453555
528,15.523382,465.701473
529,13.525304,405.759129
530,12.778988,383.369635
531,13.711083,411.332479
532,15.007047,450.211403
533,14.629725,438.891736
534,14.169763,425.092889
